Id,LotArea,Street,Utilities,Neighborhood,Condition1,Condition2,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,YrSold,SaleType,SaleCondition
1461,11622,Pave,AllPub,NAmes,Feedr,Norm,1Fam,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,TA,TA,No,Rec,468,LwQ,144,270,882,GasA,TA,Y,SBrkr,896,0,896,0,0,1,0,2,1,5,Typ,2010,WD,Normal
1462,14267,Pave,AllPub,NAmes,Norm,Norm,1Fam,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,ALQ,923,Unf,0,406,1329,GasA,TA,Y,SBrkr,1329,0,1329,0,0,1,1,3,1,6,Typ,2010,WD,Normal
1463,13830,Pave,AllPub,Gilbert,Norm,Norm,1Fam,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,GLQ,791,Unf,0,137,928,GasA,Gd,Y,SBrkr,928,701,1629,0,0,2,1,3,1,6,Typ,2010,WD,Normal
1464,9978,Pave,AllPub,Gilbert,Norm,Norm,1Fam,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,TA,TA,No,GLQ,602,Unf,0,324,926,GasA,Ex,Y,SBrkr,926,678,1604,0,0,2,1,3,1,7,Typ,2010,WD,Normal
1465,5005,Pave,AllPub,StoneBr,Norm,Norm,TwnhsE,8,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,Gd,TA,PConc,Gd,TA,No,ALQ,263,Unf,0,1017,1280,GasA,Ex,Y,SBrkr,1280,0,1280,0,0,2,0,2,1,5,Typ,2010,WD,Normal
1466,10000,Pave,AllPub,Gilbert,Norm,Norm,1Fam,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,763,763,GasA,Gd,Y,SBrkr,763,892,1655,0,0,2,1,3,1,7,Typ,2010,WD,Normal
1467,7980,Pave,AllPub,Gilbert,Norm,Norm,1Fam,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,TA,Gd,PConc,Gd,TA,No,ALQ,935,Unf,0,233,1168,GasA,Ex,Y,SBrkr,1187,0,1187,1,0,2,0,3,1,6,Typ,2010,WD,Normal
1468,8402,Pave,AllPub,Gilbert,Norm,Norm,1Fam,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,789,789,GasA,Gd,Y,SBrkr,789,676,1465,0,0,2,1,3,1,7,Typ,2010,WD,Normal
1469,10176,Pave,AllPub,Gilbert,Norm,Norm,1Fam,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,TA,TA,PConc,Gd,TA,Gd,GLQ,637,Unf,0,663,1300,GasA,Gd,Y,SBrkr,1341,0,1341,1,0,1,1,2,1,5,Typ,2010,WD,Normal
1470,8400,Pave,AllPub,NAmes,Norm,Norm,1Fam,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,TA,TA,No,ALQ,804,Rec,78,0,882,GasA,TA,Y,SBrkr,882,0,882,1,0,1,0,2,1,4,Typ,2010,WD,Normal
1471,5858,Pave,AllPub,NAmes,Norm,Norm,TwnhsE,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,Gd,TA,No,GLQ,1051,BLQ,0,354,1405,GasA,Ex,Y,SBrkr,1337,0,1337,1,0,2,0,2,1,5,Typ,2010,WD,Normal
1472,1680,Pave,AllPub,BrDale,Norm,Norm,Twnhs,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,Rec,156,Unf,0,327,483,GasA,TA,Y,SBrkr,483,504,987,0,0,1,1,2,1,5,Typ,2010,COD,Normal
1473,1680,Pave,AllPub,BrDale,Norm,Norm,Twnhs,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,Rec,300,Unf,0,225,525,GasA,TA,Y,SBrkr,525,567,1092,0,0,1,1,3,1,6,Typ,2010,WD,Normal
1474,2280,Pave,AllPub,NPkVill,Norm,Norm,Twnhs,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,TA,TA,CBlock,TA,TA,No,ALQ,514,Unf,0,341,855,GasA,TA,Y,SBrkr,855,601,1456,0,0,2,1,3,1,6,Typ,2010,WD,Normal
1475,2280,Pave,AllPub,NPkVill,Norm,Norm,Twnhs,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,836,836,GasA,Ex,Y,SBrkr,836,0,836,0,0,1,0,2,1,4,Typ,2010,WD,Normal
1476,12858,Pave,AllPub,NridgHt,Norm,Norm,1Fam,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1590,1590,GasA,Ex,Y,SBrkr,1627,707,2334,0,0,2,1,3,1,10,Typ,2010,New,Partial
1477,12883,Pave,AllPub,NridgHt,Norm,Norm,1Fam,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1544,1544,GasA,Ex,Y,SBrkr,1544,0,1544,0,0,2,0,3,1,7,Typ,2010,New,Partial
1478,11520,Pave,AllPub,NridgHt,PosN,Norm,1Fam,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,No,GLQ,110,Unf,0,1588,1698,GasA,Ex,Y,SBrkr,1698,0,1698,0,0,2,0,3,1,7,Typ,2010,WD,Normal
1479,14122,Pave,AllPub,NridgHt,Norm,Norm,1Fam,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,Gd,TA,PConc,Ex,TA,No,GLQ,28,Unf,0,1794,1822,GasA,Ex,Y,SBrkr,1822,0,1822,0,0,2,0,3,1,8,Typ,2010,WD,Normal
1480,14300,Pave,AllPub,NridgHt,Norm,Norm,1Fam,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373,Unf,0,1473,2846,GasA,Ex,Y,SBrkr,2696,0,2696,1,0,2,1,3,1,10,Typ,2010,WD,Normal
1481,13650,Pave,AllPub,NridgHt,Norm,Norm,1Fam,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Gd,GLQ,578,Unf,0,1093,1671,GasA,Ex,Y,SBrkr,1687,563,2250,1,0,2,1,3,1,7,Typ,2010,WD,Normal
1482,7132,Pave,AllPub,NridgHt,Norm,Norm,TwnhsE,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Mn,GLQ,24,Unf,0,1346,1370,GasA,Ex,Y,SBrkr,1370,0,1370,0,0,2,0,2,1,6,Typ,2010,WD,Normal
1483,18494,Pave,AllPub,Gilbert,Norm,Norm,1Fam,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1324,1324,GasA,Ex,Y,SBrkr,1324,0,1324,0,0,2,0,3,1,6,Typ,2010,WD,Normal
1484,3203,Pave,AllPub,Blmngtn,Norm,Norm,TwnhsE,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,16,Unf,0,1129,1145,GasA,Ex,Y,SBrkr,1145,0,1145,0,0,2,0,2,1,6,Typ,2010,WD,Normal
1485,13300,Pave,AllPub,Gilbert,Norm,Norm,1Fam,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,326,Unf,0,58,384,GasA,Ex,Y,SBrkr,744,630,1374,1,0,2,1,3,1,7,Typ,2010,WD,Normal
